training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
6200,S97,paper1_deep_hgrl_ugv_assisted,0.002872338518500328,0.0011286928591258683,0.004321162728956551,0.02008774926447692,1.136467069387436,1.2854808121919632,1.0,0.0,cuda
6300,S53,paper1_deep_hgrl_ugv_assisted,0.02824225276708603,0.027260046406745175,0.005074038715974893,0.13011123329079063,1.2645622044801712,1.4952972382307053,1.0,0.0,cuda
6400,S65,paper1_deep_hgrl_ugv_assisted,0.007946775294840336,2.488401744216162e-06,0.01765630568843335,0.00010503858184741964,0.9664373993873596,1.233848586678505,1.0,0.0,cuda
6500,S70,paper1_deep_hgrl_ugv_assisted,0.0029548087622970343,0.0005274755311999169,0.005646594065240151,0.01136340166676711,1.2133326977491379,1.3624742925167084,1.0,0.0,cuda
6600,S89,paper1_deep_hgrl_ugv_assisted,0.004662469495087862,4.546843621255903e-05,0.010295216081431136,0.0015845939651626395,1.195060059428215,1.3537067621946335,1.0,0.0,cuda
6700,S24,paper1_deep_hgrl_ugv_assisted,0.003979360684752464,0.00016661812775708995,0.008566340577090159,0.004211048786174901,1.1856894046068192,1.3941348195075989,1.0,0.0,cuda
6800,S86,paper1_deep_hgrl_ugv_assisted,0.011839721351861954,0.0024611620065062567,0.02170237523750984,0.038750890149913175,1.2652576193213463,1.5636393204331398,1.0,0.0,cuda
6900,S33,paper1_deep_hgrl_ugv_assisted,0.0019220463000237942,5.215404264014012e-08,0.004271162519216887,2.8959253754558874e-06,1.2681915909051895,1.4177878499031067,1.0,0.0,cuda
7000,S61,paper1_deep_hgrl_ugv_assisted,0.004810687154531479,3.166344747285166e-06,0.010686281423431865,0.00013056454458619158,1.1854537278413773,1.4359345436096191,1.0,0.0,cuda
7100,S79,paper1_deep_hgrl_ugv_assisted,0.012612561695277691,5.284764941393405e-05,0.02794533783890074,0.0015687203906171042,1.057356059551239,1.2867252007126808,1.0,0.0,cuda
